Category,Day,Amount,Date,Month
Rent,1,,01/01/2023,JAN
Rent,2,,02/01/2023,JAN
Rent,3,,03/01/2023,JAN
Rent,4,,04/01/2023,JAN
Rent,5,,05/01/2023,JAN
Rent,6,,06/01/2023,JAN
Rent,7,,07/01/2023,JAN
Rent,8,,08/01/2023,JAN
Rent,9,,09/01/2023,JAN
Rent,10,,10/01/2023,JAN
Rent,11,,11/01/2023,JAN
Rent,12,,12/01/2023,JAN
Rent,13,,13/01/2023,JAN
Rent,14,,14/01/2023,JAN
Rent,15,,15/01/2023,JAN
Rent,16,,16/01/2023,JAN
Rent,17,,17/01/2023,JAN
Rent,18,,18/01/2023,JAN
Rent,19,,19/01/2023,JAN
Rent,20,,20/01/2023,JAN
Rent,21,,21/01/2023,JAN
Rent,22,,22/01/2023,JAN
Rent,23,1205,23/01/2023,JAN
Rent,24,,24/01/2023,JAN
Rent,25,,25/01/2023,JAN
Rent,26,,26/01/2023,JAN
Rent,27,,27/01/2023,JAN
Rent,28,,28/01/2023,JAN
Rent,29,,29/01/2023,JAN
Rent,30,,30/01/2023,JAN
Rent,31,,31/01/2023,JAN
Tithe,1,,01/01/2023,JAN
Tithe,2,,02/01/2023,JAN
Tithe,3,,03/01/2023,JAN
Tithe,4,,04/01/2023,JAN
Tithe,5,,05/01/2023,JAN
Tithe,6,,06/01/2023,JAN
Tithe,7,,07/01/2023,JAN
Tithe,8,,08/01/2023,JAN
Tithe,9,,09/01/2023,JAN
Tithe,10,,10/01/2023,JAN
Tithe,11,,11/01/2023,JAN
Tithe,12,,12/01/2023,JAN
Tithe,13,,13/01/2023,JAN
Tithe,14,,14/01/2023,JAN
Tithe,15,,15/01/2023,JAN
Tithe,16,,16/01/2023,JAN
Tithe,17,,17/01/2023,JAN
Tithe,18,,18/01/2023,JAN
Tithe,19,,19/01/2023,JAN
Tithe,20,,20/01/2023,JAN
Tithe,21,,21/01/2023,JAN
Tithe,22,,22/01/2023,JAN
Tithe,23,,23/01/2023,JAN
Tithe,24,,24/01/2023,JAN
Tithe,25,,25/01/2023,JAN
Tithe,26,,26/01/2023,JAN
Tithe,27,,27/01/2023,JAN
Tithe,28,,28/01/2023,JAN
Tithe,29,,29/01/2023,JAN
Tithe,30,,30/01/2023,JAN
Tithe,31,,31/01/2023,JAN
Data,1,,01/01/2023,JAN
Data,2,,02/01/2023,JAN
Data,3,,03/01/2023,JAN
Data,4,,04/01/2023,JAN
Data,5,,05/01/2023,JAN
Data,6,,06/01/2023,JAN
Data,7,,07/01/2023,JAN
Data,8,,08/01/2023,JAN
Data,9,,09/01/2023,JAN
Data,10,,10/01/2023,JAN
Data,11,,11/01/2023,JAN
Data,12,,12/01/2023,JAN
