Date,Month_name,Category,Amount,month,year
2023-01-23,Jan,Rent,1205.0,1,2023
2023-01-16,Jan,Food,5.0,1,2023
2023-01-18,Jan,Food,48.0,1,2023
2023-01-19,Jan,Food,15.0,1,2023
2023-01-20,Jan,Food,104.31,1,2023
2023-01-21,Jan,Food,76.0,1,2023
2023-01-22,Jan,Food,46.0,1,2023
2023-01-23,Jan,Food,16.0,1,2023
2023-01-24,Jan,Food,15.0,1,2023
2023-01-25,Jan,Food,66.21,1,2023
2023-01-26,Jan,Food,8.0,1,2023
2023-01-27,Jan,Food,35.5,1,2023
2023-01-29,Jan,Food,35.0,1,2023
2023-01-16,Jan,Healthcare,25.0,1,2023
2023-01-28,Jan,Clothes/ Shoes/ Jewelry ,230.0,1,2023
2023-01-17,Jan,Outings,50.0,1,2023
2023-01-18,Jan,Outings,7.0,1,2023
2023-01-20,Jan,Toiletries/Groceries,5.0,1,2023
2023-01-26,Jan,Toiletries/Groceries,24.0,1,2023
2023-01-28,Jan,Toiletries/Groceries,733.0,1,2023
2023-07-01,Jul,Transportation ,23.0,7,2023
2023-10-01,Oct,Transportation ,63.0,10,2023
2023-01-19,Jan,Transportation ,63.0,1,2023
2023-01-20,Jan,Transportation ,73.0,1,2023
2023-01-23,Jan,Transportation ,48.0,1,2023
2023-01-24,Jan,Transportation ,7.0,1,2023
2023-01-25,Jan,Transportation ,12.5,1,2023
2023-01-26,Jan,Transportation ,15.0,1,2023
2023-01-27,Jan,Transportation ,40.0,1,2023
2023-01-28,Jan,Transportation ,22.0,1,2023
2023-01-29,Jan,Transportation ,86.0,1,2023
2023-01-31,Jan,Transportation ,39.0,1,2023
2023-01-01,Jan,Miscellaneous,55.0,1,2023
2023-03-01,Mar,Miscellaneous,600.0,3,2023
2023-08-01,Aug,Miscellaneous,61.0,8,2023
2023-01-13,Jan,Miscellaneous,100.0,1,2023
2023-01-14,Jan,Miscellaneous,51.0,1,2023
2023-01-28,Jan,Miscellaneous,128.25,1,2023
2023-01-19,Jan,Apple Subscriptions,45.06,1,2023
2023-01-27,Jan,Apple Subscriptions,13.56,1,2023
2023-10-01,Oct,Google 1,9.0,10,2023
2023-01-19,Jan,Netflix,133.62,1,2023
2023-01-20,Jan,electricity,101.0,1,2023
2023-01-21,Jan,Account Charges,10.0,1,2023
2023-01-02,Jan,Data,300.0,1,2023
2023-02-23,Feb,Savings/ Investment ,200.0,2,2023
2023-02-28,Feb,Hair / Gym,20.0,2,2023
2023-01-02,Jan,Food,10.0,1,2023
2023-02-02,Feb,Food,15.0,2,2023
2023-04-02,Apr,Food,112.0,4,2023
2023-06-02,Jun,Food,10.0,6,2023
2023-07-02,Jul,Food,60.0,7,2023
2023-08-02,Aug,Food,10.0,8,2023
2023-09-02,Sep,Food,36.5,9,2023
2023-12-02,Dec,Food,10.0,12,2023
2023-02-14,Feb,Food,128.0,2,2023
2023-02-15,Feb,Food,15.0,2,2023
2023-02-18,Feb,Food,10.0,2,2023
2023-02-21,Feb,Food,40.0,2,2023
2023-02-22,Feb,Food,38.0,2,2023
2023-02-23,Feb,Food,10.0,2,2023
2023-02-24,Feb,Food,75.0,2,2023
2023-02-28,Feb,Food,30.0,2,2023
2023-04-02,Apr,Healthcare,52.0,4,2023
2023-02-16,Feb,Healthcare,13.5,2,2023
2023-02-23,Feb,Healthcare,13.5,2,2023
2023-02-27,Feb,Healthcare,17.0,2,2023
2023-02-22,Feb,Clothes/ Shoes/ Jewelry ,100.0,2,2023
2023-09-02,Sep,Toiletries/Groceries,150.0,9,2023
2023-02-28,Feb,Toiletries/Groceries,122.0,2,2023
2023-01-02,Jan,Transportation ,19.0,1,2023
2023-03-02,Mar,Transportation ,2.5,3,2023
2023-04-02,Apr,Transportation ,38.0,4,2023
2023-10-02,Oct,Transportation ,9.5,10,2023
2023-12-02,Dec,Transportation ,58.0,12,2023
2023-02-14,Feb,Transportation ,113.0,2,2023
2023-02-15,Feb,Transportation ,12.0,2,2023
2023-02-21,Feb,Transportation ,98.0,2,2023
2023-02-22,Feb,Transportation ,50.0,2,2023
2023-02-23,Feb,Transportation ,14.0,2,2023
2023-02-24,Feb,Transportation ,1.0,2,2023
2023-02-25,Feb,Transportation ,55.0,2,2023
2023-02-26,Feb,Transportation ,50.0,2,2023
2023-02-28,Feb,Transportation ,20.0,2,2023
2023-09-02,Sep,Miscellaneous,63.0,9,2023
2023-12-02,Dec,Miscellaneous,50.0,12,2023
2023-02-26,Feb,Apple Subscriptions,14.0,2,2023
2023-02-22,Feb,Netflix,140.0,2,2023
2023-02-23,Feb,Account Charges,10.0,2,2023
2023-03-22,Mar,Rent,1400.0,3,2023
2023-04-03,Apr,Data,300.0,4,2023
2023-08-03,Aug,Data,6.0,8,2023
2023-03-23,Mar,Savings/ Investment ,350.0,3,2023
2023-03-27,Mar,Hair / Gym,500.0,3,2023
2023-01-03,Jan,Food,10.0,1,2023
2023-02-03,Feb,Food,11.0,2,2023
2023-03-03,Mar,Food,106.0,3,2023
2023-04-03,Apr,Food,124.0,4,2023
2023-05-03,May,Food,146.9,5,2023
2023-06-03,Jun,Food,40.0,6,2023
2023-07-03,Jul,Food,41.0,7,2023
2023-09-03,Sep,Food,9.0,9,2023
2023-10-03,Oct,Food,163.0,10,2023
2023-11-03,Nov,Food,10.0,11,2023
2023-12-03,Dec,Food,10.0,12,2023
2023-03-13,Mar,Food,2.0,3,2023
2023-03-14,Mar,Food,19.0,3,2023
2023-03-15,Mar,Food,5.5,3,2023
2023-03-16,Mar,Food,10.0,3,2023
2023-03-17,Mar,Food,120.5,3,2023
2023-03-18,Mar,Food,72.4,3,2023
2023-03-19,Mar,Food,115.0,3,2023
2023-03-20,Mar,Food,4.0,3,2023
2023-03-21,Mar,Food,85.0,3,2023
2023-03-22,Mar,Food,7.0,3,2023
2023-03-23,Mar,Food,6.0,3,2023
2023-03-24,Mar,Food,4.0,3,2023
2023-03-25,Mar,Food,56.0,3,2023
2023-03-26,Mar,Food,10.0,3,2023
2023-03-27,Mar,Food,8.0,3,2023
2023-03-28,Mar,Food,4.5,3,2023
2023-03-29,Mar,Food,21.0,3,2023
2023-03-30,Mar,Food,11.5,3,2023
2023-03-31,Mar,Food,20.5,3,2023
2023-03-15,Mar,Healthcare,245.0,3,2023
2023-09-03,Sep,Clothes/ Shoes/ Jewelry ,14.0,9,2023
2023-03-22,Mar,Clothes/ Shoes/ Jewelry ,40.0,3,2023
2023-03-23,Mar,Clothes/ Shoes/ Jewelry ,200.0,3,2023
2023-03-27,Mar,Clothes/ Shoes/ Jewelry ,10.0,3,2023
2023-03-16,Mar,Outings,200.0,3,2023
2023-03-03,Mar,Toiletries/Groceries,30.0,3,2023
2023-06-03,Jun,Toiletries/Groceries,39.0,6,2023
2023-03-24,Mar,Toiletries/Groceries,48.48,3,2023
2023-01-03,Jan,Transportation ,38.0,1,2023
2023-02-03,Feb,Transportation ,38.0,2,2023
2023-03-03,Mar,Transportation ,29.0,3,2023
2023-04-03,Apr,Transportation ,8.0,4,2023
2023-07-03,Jul,Transportation ,14.0,7,2023
2023-09-03,Sep,Transportation ,4.5,9,2023
2023-10-03,Oct,Transportation ,56.0,10,2023
2023-03-14,Mar,Transportation ,21.0,3,2023
2023-03-15,Mar,Transportation ,13.0,3,2023
2023-03-17,Mar,Transportation ,10.0,3,2023
2023-03-20,Mar,Transportation ,22.5,3,2023
2023-03-21,Mar,Transportation ,33.0,3,2023
2023-03-22,Mar,Transportation ,25.5,3,2023
2023-03-23,Mar,Transportation ,5.5,3,2023
2023-03-24,Mar,Transportation ,62.0,3,2023
2023-03-25,Mar,Transportation ,89.0,3,2023
2023-03-27,Mar,Transportation ,25.5,3,2023
2023-03-28,Mar,Transportation ,26.0,3,2023
2023-03-29,Mar,Transportation ,27.0,3,2023
2023-03-30,Mar,Transportation ,26.0,3,2023
2023-03-31,Mar,Transportation ,70.5,3,2023
2023-07-03,Jul,Miscellaneous,95.0,7,2023
2023-10-03,Oct,Miscellaneous,50.0,10,2023
2023-11-03,Nov,Miscellaneous,65.0,11,2023
2023-03-14,Mar,Miscellaneous,2.0,3,2023
2023-03-26,Mar,Apple Subscriptions,13.25,3,2023
2023-10-03,Oct,Google 1,9.0,10,2023
2023-03-19,Mar,Netflix,108.57,3,2023
2023-03-21,Mar,Account Charges,10.0,3,2023
2023-03-22,Mar,Account Charges,14.0,3,2023
2023-03-23,Mar,Account Charges,4.0,3,2023
2023-04-23,Apr,Tithe,385.0,4,2023
2023-06-04,Jun,Data,300.0,6,2023
2023-04-20,Apr,Savings/ Investment ,500.0,4,2023
2023-04-20,Apr,Hair / Gym,20.0,4,2023
2023-01-04,Jan,Food,108.35,1,2023
2023-03-04,Mar,Food,21.0,3,2023
2023-04-04,Apr,Food,7.5,4,2023
2023-05-04,May,Food,20.0,5,2023
2023-07-04,Jul,Food,17.0,7,2023
2023-10-04,Oct,Food,20.0,10,2023
2023-12-04,Dec,Food,20.0,12,2023
2023-04-13,Apr,Food,8.0,4,2023
2023-04-14,Apr,Food,15.0,4,2023
2023-04-16,Apr,Food,32.5,4,2023
2023-04-19,Apr,Food,40.0,4,2023
2023-04-20,Apr,Food,13.0,4,2023
2023-04-21,Apr,Food,101.0,4,2023
2023-04-22,Apr,Food,231.0,4,2023
2023-04-23,Apr,Food,12.0,4,2023
2023-04-24,Apr,Food,48.0,4,2023
2023-04-25,Apr,Food,14.0,4,2023
2023-04-26,Apr,Food,5.0,4,2023
2023-04-27,Apr,Food,20.0,4,2023
2023-04-28,Apr,Food,97.0,4,2023
2023-04-18,Apr,Healthcare,17.0,4,2023
2023-04-20,Apr,Clothes/ Shoes/ Jewelry ,470.0,4,2023
2023-04-04,Apr,Outings,100.0,4,2023
2023-02-04,Feb,Toiletries/Groceries,136.92,2,2023
2023-03-04,Mar,Toiletries/Groceries,39.0,3,2023
2023-09-04,Sep,Toiletries/Groceries,4.0,9,2023
2023-10-04,Oct,Toiletries/Groceries,4.5,10,2023
2023-04-22,Apr,Toiletries/Groceries,95.97,4,2023
2023-04-24,Apr,Toiletries/Groceries,72.5,4,2023
2023-02-04,Feb,Transportation ,62.0,2,2023
2023-04-04,Apr,Transportation ,17.0,4,2023
2023-05-04,May,Transportation ,20.0,5,2023
2023-06-04,Jun,Transportation ,13.0,6,2023
