Category,Average Amount
Account Charges,5.503428571428572
Amuse,
Apple Subscriptions,15.495833333333335
Clothes/ Shoes/ Jewelry ,185.4
Data,265.54545454545456
Food,40.833553719008265
Google 1,9.0
Hair / Gym,140.0
Healthcare,34.30416666666667
Miscellaneous,107.49797297297297
Netflix,107.36727272727272
Outings,92.83333333333333
Rent,2021.0
Savings/ Investment ,485.7142857142857
Tithe,385.0
Toiletries/Groceries,169.2051020408163
Transportation ,48.79726368159204
Travel/ Vacations ,
electricity,85.5
shoes,
